Time,09C00 Aranet4  Temperature (°C) [09C00],09C05 Aranet4  Temperature (°C) [09C05],09C09 Aranet4  Temperature (°C) [09C09],09C0F Aranet4  Temperature (°C) [09C0F],09C00 Aranet4  Humidity (%) [09C00],09C05 Aranet4  Humidity (%) [09C05],09C09 Aranet4  Humidity (%) [09C09],09C0F Aranet4  Humidity (%) [09C0F],09C00 Aranet4  Pressure (hPa) [09C00],09C05 Aranet4  Pressure (hPa) [09C05],09C09 Aranet4  Pressure (hPa) [09C09],09C0F Aranet4  Pressure (hPa) [09C0F],09C00 Aranet4  CO₂ (ppm) [09C00],09C05 Aranet4  CO₂ (ppm) [09C05],09C09 Aranet4  CO₂ (ppm) [09C09],09C0F Aranet4  CO₂ (ppm) [09C0F],0D697 PM  PM1 (µg/m³) [0D697],0D699 PM  PM1 (µg/m³) [0D699],0D6A0 PM  PM1 (µg/m³) [0D6A0],0D6A3 PM  PM1 (µg/m³) [0D6A3],0D697 PM  PM2.5 (µg/m³) [0D697],0D699 PM  PM2.5 (µg/m³) [0D699],0D6A0 PM  PM2.5 (µg/m³) [0D6A0],0D6A3 PM  PM2.5 (µg/m³) [0D6A3],0D697 PM  PM10 (µg/m³) [0D697],0D699 PM  PM10 (µg/m³) [0D699],0D6A0 PM  PM10 (µg/m³) [0D6A0],0D6A3 PM  PM10 (µg/m³) [0D6A3],0195C Weight  Weight (kg) [0195C],01960 Weight  Weight (kg) [01960],01966 Weight  Weight (kg) [01966],019A0 Weight  Weight (kg) [019A0]
2026-05-22 00:00:06,,,,22.00,,,,58.0,,,,1019,,,,425,,,,,,,,,,,,,,,,
2026-05-22 00:00:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.162,
2026-05-22 00:00:18,22.80,,,,53.0,,,,1019,,,,471,,,,,,,,,,,,,,,,,,,
2026-05-22 00:00:19,,,23.40,,,,56.0,,,,1018,,,,498,,,,,,,,,,,,,,,,,
2026-05-22 00:00:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.221,,,
2026-05-22 00:00:32,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,
2026-05-22 00:00:34,,22.65,,,,59.0,,,,1019,,,,472,,,,,,,,,,,,,,,,,,
2026-05-22 00:00:43,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,,,
2026-05-22 00:00:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.176,,
2026-05-22 00:00:49,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,,
2026-05-22 00:00:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.039
2026-05-22 00:00:59,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,,,,
2026-05-22 00:01:03,,,,22.00,,,,58.0,,,,1019,,,,435,,,,,,,,,,,,,,,,
2026-05-22 00:01:13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.162,
2026-05-22 00:01:17,22.80,,,,53.0,,,,1019,,,,457,,,,,,,,,,,,,,,,,,,
2026-05-22 00:01:21,,,23.40,,,,56.0,,,,1018,,,,500,,,,,,,,,,,,,,,,,
2026-05-22 00:01:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.221,,,
2026-05-22 00:01:34,,22.65,,,,59.0,,,,1019,,,,441,,,,,,0,,,,0,,,,0,,,,
2026-05-22 00:01:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.176,,
2026-05-22 00:01:46,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,,,
2026-05-22 00:01:51,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,,
2026-05-22 00:01:58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.039
2026-05-22 00:02:00,,,,,,,,,,,,,,,,,1,,,,1,,,,1,,,,,,,
2026-05-22 00:02:05,,,,22.00,,,,58.0,,,,1019,,,,434,,,,,,,,,,,,,,,,
2026-05-22 00:02:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.161,
2026-05-22 00:02:17,22.75,,,,52.0,,,,1019,,,,461,,,,,,,,,,,,,,,,,,,
2026-05-22 00:02:20,,,23.40,,,,56.0,,,,1018,,,,486,,,,,,,,,,,,,,,,,
2026-05-22 00:02:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.221,,,
2026-05-22 00:02:36,,22.65,,,,59.0,,,,1019,,,,456,,,,,,0,,,,0,,,,0,,,,
2026-05-22 00:02:46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.175,,
2026-05-22 00:02:49,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,,,
2026-05-22 00:02:55,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,,-0.039
2026-05-22 00:03:01,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,,,,
2026-05-22 00:03:04,,,,21.95,,,,58.0,,,,1019,,,,428,,,,,,,,,,,,,,,,
2026-05-22 00:03:13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.162,
2026-05-22 00:03:16,22.80,,,,53.0,,,,1019,,,,455,,,,,,,,,,,,,,,,,,,
2026-05-22 00:03:21,,,23.40,,,,56.0,,,,1018,,,,484,,,,,,,,,,,,,,,,,
2026-05-22 00:03:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.221,,,
2026-05-22 00:03:35,,22.65,,,,59.0,,,,1019,,,,453,,,,,,,,,,,,,,,,,,
2026-05-22 00:03:39,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,
2026-05-22 00:03:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.176,,
2026-05-22 00:03:51,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,,,
2026-05-22 00:03:54,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,,
2026-05-22 00:03:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.039
2026-05-22 00:04:03,,,,22.00,,,,58.0,,,,1019,,,,431,,,,,,,,,,,,,,,,
2026-05-22 00:04:07,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,,,,
