time,ens_eco2_ppm
2026-05-25T12:00:00.4030000,498
2026-05-25T12:00:01.4550000,489
2026-05-25T12:00:02.4950000,484
2026-05-25T12:00:03.5360000,487
2026-05-25T12:00:04.5770000,488
2026-05-25T12:00:05.6180000,484
2026-05-25T12:00:06.6590000,486
2026-05-25T12:00:07.7060000,491
2026-05-25T12:00:08.7470000,488
2026-05-25T12:00:09.7880000,497
2026-05-25T12:00:10.8390000,494
2026-05-25T12:00:11.8800000,502
2026-05-25T12:00:12.9210000,495
2026-05-25T12:00:13.9620000,493
2026-05-25T12:00:15.0020000,482
2026-05-25T12:00:16.0540000,498
2026-05-25T12:00:17.0940000,489
2026-05-25T12:00:18.1350000,483
2026-05-25T12:00:19.1760000,482
2026-05-25T12:00:20.2170000,497
2026-05-25T12:00:21.2610000,498
2026-05-25T12:00:22.3020000,499
2026-05-25T12:00:23.3530000,491
2026-05-25T12:00:24.3940000,502
2026-05-25T12:00:25.4350000,488
2026-05-25T12:00:26.4780000,499
2026-05-25T12:00:27.5190000,486
2026-05-25T12:00:28.5600000,503
2026-05-25T12:00:29.6010000,502
2026-05-25T12:00:30.6520000,490
2026-05-25T12:00:31.6930000,491
2026-05-25T12:00:32.7340000,484
2026-05-25T12:00:33.7740000,497
2026-05-25T12:00:34.8150000,494
2026-05-25T12:00:35.8560000,489
2026-05-25T12:00:36.9070000,497
2026-05-25T12:00:37.9480000,487
2026-05-25T12:00:38.9880000,490
2026-05-25T12:00:40.0290000,494
2026-05-25T12:00:41.0700000,492
2026-05-25T12:00:42.1210000,506
2026-05-25T12:00:43.1620000,488
2026-05-25T12:00:44.2030000,489
2026-05-25T12:00:45.2440000,486
2026-05-25T12:00:46.2840000,497
2026-05-25T12:00:47.3360000,496
2026-05-25T12:00:48.3690000,488
2026-05-25T12:00:49.4210000,482
2026-05-25T12:00:50.4610000,483
2026-05-25T12:00:51.5020000,488
2026-05-25T12:00:52.5430000,490
2026-05-25T12:00:53.5840000,493
2026-05-25T12:00:54.6350000,496
2026-05-25T12:00:55.6760000,497
2026-05-25T12:00:56.7170000,502
2026-05-25T12:00:57.7570000,489
2026-05-25T12:00:58.7980000,490
2026-05-25T12:00:59.8490000,493
2026-05-25T12:01:00.8900000,486
2026-05-25T12:01:01.9310000,507
2026-05-25T12:01:02.9680000,493
2026-05-25T12:01:04.0190000,483
