time,ens_eco2_ppm
2026-05-25T21:59:30.2470000,436
2026-05-25T21:59:31.2880000,444
2026-05-25T21:59:32.3290000,447
2026-05-25T21:59:33.3800000,447
2026-05-25T21:59:34.4210000,435
2026-05-25T21:59:35.4620000,437
2026-05-25T21:59:36.5030000,442
2026-05-25T21:59:37.5430000,453
2026-05-25T21:59:38.5840000,435
2026-05-25T21:59:39.6350000,447
2026-05-25T21:59:40.6760000,447
2026-05-25T21:59:41.7170000,445
2026-05-25T21:59:42.7580000,440
2026-05-25T21:59:43.7980000,446
2026-05-25T21:59:44.8460000,438
2026-05-25T21:59:45.8870000,441
2026-05-25T21:59:46.9280000,451
2026-05-25T21:59:47.9690000,448
2026-05-25T21:59:49.0200000,449
2026-05-25T21:59:50.0610000,445
2026-05-25T21:59:51.1020000,445
2026-05-25T21:59:52.1420000,441
2026-05-25T21:59:53.1830000,431
2026-05-25T21:59:54.2240000,467
2026-05-25T21:59:55.2750000,450
2026-05-25T21:59:56.3160000,459
2026-05-25T21:59:57.3570000,452
2026-05-25T21:59:58.3980000,435
2026-05-25T21:59:59.4390000,451
2026-05-25T22:00:00.4900000,438
2026-05-25T22:00:01.5300000,442
2026-05-25T22:00:02.5710000,459
2026-05-25T22:00:03.6120000,457
2026-05-25T22:00:04.6520000,418
2026-05-25T22:00:05.7040000,435
2026-05-25T22:00:06.7440000,450
2026-05-25T22:00:07.7850000,444
2026-05-25T22:00:08.8260000,427
2026-05-25T22:00:09.8670000,438
2026-05-25T22:00:10.9080000,448
2026-05-25T22:00:11.9520000,431
2026-05-25T22:00:12.9930000,447
2026-05-25T22:00:14.0440000,426
2026-05-25T22:00:15.0850000,436
2026-05-25T22:00:16.1260000,448
2026-05-25T22:00:17.1660000,444
2026-05-25T22:00:18.2070000,440
2026-05-25T22:00:19.2480000,438
2026-05-25T22:00:20.2990000,459
2026-05-25T22:00:21.3400000,439
2026-05-25T22:00:22.3810000,448
2026-05-25T22:00:23.4220000,448
2026-05-25T22:00:24.4620000,433
2026-05-25T22:00:25.5030000,442
2026-05-25T22:00:26.5470000,439
2026-05-25T22:00:27.5980000,447
2026-05-25T22:00:28.6390000,441
2026-05-25T22:00:29.6800000,444
2026-05-25T22:00:30.7210000,433
2026-05-25T22:00:31.7610000,445
2026-05-25T22:00:32.8020000,444
2026-05-25T22:00:33.8540000,431
2026-05-25T22:00:34.8940000,440
2026-05-25T22:00:35.9350000,440
2026-05-25T22:00:38.0170000,441
2026-05-25T22:00:39.0570000,433
2026-05-25T22:00:40.1020000,436
2026-05-25T22:00:41.1430000,444
2026-05-25T22:00:42.1830000,433
2026-05-25T22:00:43.2350000,451
2026-05-25T22:00:44.2750000,440
2026-05-25T22:00:45.3160000,436
2026-05-25T22:00:46.3570000,438
2026-05-25T22:00:47.3980000,437
2026-05-25T22:00:48.4380000,427
2026-05-25T22:00:49.4900000,453
2026-05-25T22:00:50.5300000,447
2026-05-25T22:00:51.5710000,428
2026-05-25T22:00:52.6120000,442
2026-05-25T22:00:53.6520000,433
2026-05-25T22:00:54.7040000,445
2026-05-25T22:00:55.7440000,440
2026-05-25T22:00:56.7850000,445
2026-05-25T22:00:57.8260000,432
2026-05-25T22:00:58.8670000,444
2026-05-25T22:00:59.9080000,445
2026-05-25T22:01:00.9490000,439
2026-05-25T22:01:02.0000000,429
2026-05-25T22:01:03.0410000,440
2026-05-25T22:01:04.0810000,446
2026-05-25T22:01:05.1220000,431
2026-05-25T22:01:06.1630000,446
