time,ens_eco2_ppm
2026-05-23T01:00:01.0240000,757
2026-05-23T01:00:02.0640000,742
2026-05-23T01:00:03.1050000,749
2026-05-23T01:00:04.1560000,759
2026-05-23T01:00:05.1970000,740
2026-05-23T01:00:06.2380000,756
2026-05-23T01:00:07.2790000,751
2026-05-23T01:00:08.3200000,757
2026-05-23T01:00:09.3600000,758
2026-05-23T01:00:10.4010000,749
2026-05-23T01:00:11.4420000,753
2026-05-23T01:00:12.4830000,745
2026-05-23T01:00:13.5340000,738
2026-05-23T01:00:14.5710000,762
2026-05-23T01:00:15.6120000,737
2026-05-23T01:00:16.6530000,728
2026-05-23T01:00:17.6930000,748
2026-05-23T01:00:18.7450000,746
2026-05-23T01:00:19.7850000,751
2026-05-23T01:00:20.8260000,749
2026-05-23T01:00:21.8670000,743
2026-05-23T01:00:22.9080000,744
2026-05-23T01:00:23.9480000,740
2026-05-23T01:00:24.9890000,749
2026-05-23T01:00:26.0300000,735
2026-05-23T01:00:27.0810000,753
2026-05-23T01:00:28.1150000,737
2026-05-23T01:00:29.1660000,771
2026-05-23T01:00:30.2070000,742
2026-05-23T01:00:31.2490000,761
2026-05-23T01:00:32.2890000,744
2026-05-23T01:00:33.3300000,746
2026-05-23T01:00:34.3710000,754
2026-05-23T01:00:35.4110000,748
2026-05-23T01:00:36.4520000,740
2026-05-23T01:00:37.5030000,754
2026-05-23T01:00:38.5440000,744
2026-05-23T01:00:39.5850000,756
2026-05-23T01:00:40.6260000,738
2026-05-23T01:00:41.6700000,747
2026-05-23T01:00:42.7100000,754
2026-05-23T01:00:43.7510000,747
2026-05-23T01:00:44.7920000,748
2026-05-23T01:00:45.8330000,735
2026-05-23T01:00:46.8730000,742
2026-05-23T01:00:47.9250000,745
2026-05-23T01:00:48.9660000,737
2026-05-23T01:00:50.0060000,752
2026-05-23T01:00:51.0470000,735
2026-05-23T01:00:52.0880000,733
2026-05-23T01:00:53.1290000,749
2026-05-23T01:00:54.1690000,737
2026-05-23T01:00:55.2100000,757
2026-05-23T01:00:56.2580000,748
2026-05-23T01:00:57.2990000,730
2026-05-23T01:00:58.3390000,751
2026-05-23T01:00:59.3800000,753
2026-05-23T01:01:00.4210000,750
2026-05-23T01:01:01.4720000,750
2026-05-23T01:01:02.5130000,740
2026-05-23T01:01:03.5530000,749
2026-05-23T01:01:04.5940000,754
2026-05-23T01:01:05.6350000,740
2026-05-23T01:01:06.6760000,746
2026-05-23T01:01:07.7160000,734
2026-05-23T01:01:08.7570000,745
2026-05-23T01:01:09.8050000,746
2026-05-23T01:01:10.8460000,754
2026-05-23T01:01:11.8860000,742
2026-05-23T01:01:12.9270000,748
2026-05-23T01:01:13.9680000,746
2026-05-23T01:01:15.0190000,735
2026-05-23T01:01:16.0600000,753
2026-05-23T01:01:17.1010000,757
2026-05-23T01:01:18.1420000,749
2026-05-23T01:01:19.1820000,745
2026-05-23T01:01:20.2230000,754
2026-05-23T01:01:21.2640000,736
2026-05-23T01:01:22.3150000,734
2026-05-23T01:01:23.3560000,729
2026-05-23T01:01:24.3970000,743
2026-05-23T01:01:25.4370000,739
2026-05-23T01:01:26.4780000,730
2026-05-23T01:01:27.5190000,734
2026-05-23T01:01:28.5600000,736
2026-05-23T01:01:29.6000000,746
2026-05-23T01:01:30.6510000,733
2026-05-23T01:01:31.6920000,749
2026-05-23T01:01:32.7330000,734
2026-05-23T01:01:33.7740000,721
2026-05-23T01:01:34.8150000,734
2026-05-23T01:01:35.8550000,729
2026-05-23T01:01:36.9030000,743
2026-05-23T01:01:37.9440000,745
2026-05-23T01:01:38.9850000,737
2026-05-23T01:01:40.0250000,737
2026-05-23T01:01:41.0660000,731
2026-05-23T01:01:42.1070000,723
2026-05-23T01:01:43.1580000,730
2026-05-23T01:01:44.1990000,731
2026-05-23T01:01:45.2400000,732
2026-05-23T01:01:46.2810000,732
2026-05-23T01:01:47.3210000,726
2026-05-23T01:01:48.3620000,722
2026-05-23T01:01:49.4030000,718
2026-05-23T01:01:50.4440000,733
2026-05-23T01:01:51.4880000,735
2026-05-23T01:01:52.5280000,742
2026-05-23T01:01:53.5800000,723
2026-05-23T01:01:54.6200000,726
2026-05-23T01:01:55.6610000,724
2026-05-23T01:01:56.7020000,718
2026-05-23T01:01:57.7430000,728
2026-05-23T01:01:58.7830000,719
2026-05-23T01:01:59.8240000,740
2026-05-23T01:02:00.8750000,738
2026-05-23T01:02:01.9160000,720
2026-05-23T01:02:02.9570000,716
2026-05-23T01:02:03.9980000,723
2026-05-23T01:02:05.0420000,730
2026-05-23T01:02:06.0830000,734
2026-05-23T01:02:07.1240000,723
2026-05-23T01:02:08.1640000,717
2026-05-23T01:02:09.2050000,718
2026-05-23T01:02:10.2560000,740
2026-05-23T01:02:11.2970000,730
2026-05-23T01:02:12.3380000,732
2026-05-23T01:02:13.3790000,727
2026-05-23T01:02:14.4200000,734
2026-05-23T01:02:15.4600000,730
2026-05-23T01:02:16.5010000,727
2026-05-23T01:02:17.5520000,730
2026-05-23T01:02:18.5890000,729
2026-05-23T01:02:19.6300000,735
2026-05-23T01:02:20.6710000,720
2026-05-23T01:02:21.7110000,741
2026-05-23T01:02:22.7630000,706
2026-05-23T01:02:23.8030000,722
2026-05-23T01:02:24.8440000,729
2026-05-23T01:02:25.8850000,726
2026-05-23T01:02:26.9260000,724
2026-05-23T01:02:27.9660000,697
2026-05-23T01:02:29.0070000,728
2026-05-23T01:02:30.0590000,725
2026-05-23T01:02:31.1000000,730
2026-05-23T01:02:32.1330000,718
2026-05-23T01:02:33.1850000,707
2026-05-23T01:02:34.2250000,725
2026-05-23T01:02:35.2660000,708
2026-05-23T01:02:36.3070000,719
2026-05-23T01:02:37.3470000,722
2026-05-23T01:02:38.3880000,712
2026-05-23T01:02:39.4290000,719
2026-05-23T01:02:40.4800000,722
2026-05-23T01:02:41.5210000,729
2026-05-23T01:02:42.5620000,724
2026-05-23T01:02:43.6020000,735
2026-05-23T01:02:44.6430000,715
2026-05-23T01:02:45.6870000,724
2026-05-23T01:02:46.7280000,713
2026-05-23T01:02:47.7690000,730
2026-05-23T01:02:48.8100000,722
2026-05-23T01:02:49.8500000,748
2026-05-23T01:02:50.9010000,713
2026-05-23T01:02:51.9420000,750
2026-05-23T01:02:52.9830000,738
2026-05-23T01:02:54.0240000,722
2026-05-23T01:02:55.0640000,737
2026-05-23T01:02:56.1050000,732
2026-05-23T01:02:57.1460000,747
2026-05-23T01:02:58.1970000,729
2026-05-23T01:02:59.2380000,723
2026-05-23T01:03:00.2750000,749
2026-05-23T01:03:01.3160000,749
2026-05-23T01:03:02.3670000,730
