pc_iso_gw,pc_iso_node,gw_utc_sec,gw_utc_ms,node_utc_sec,node_utc_ms,utc_match,latency_ms,node_local_ms,drift_ppm
2026-06-01T09:46:58.858241+00:00,2026-06-01T09:46:58.878501+00:00,1780307217,859,1780307217,859,True,20,27871,0
2026-06-01T09:47:28.873087+00:00,2026-06-01T09:47:28.890763+00:00,1780307247,873,1780307247,873,True,17,57870,500
2026-06-01T09:47:58.886613+00:00,2026-06-01T09:47:58.941042+00:00,1780307277,883,1780307277,883,True,55,87920,-233
2026-06-01T09:48:28.896371+00:00,2026-06-01T09:48:28.941272+00:00,1780307307,893,1780307307,893,True,45,117920,-190
2026-06-01T09:48:58.909413+00:00,2026-06-01T09:48:58.941521+00:00,1780307337,908,1780307337,908,True,32,147920,-88
2026-06-01T09:49:28.921235+00:00,2026-06-01T09:49:28.941772+00:00,1780307367,920,1780307367,920,True,20,177920,-12
2026-06-01T09:49:58.933462+00:00,2026-06-01T09:49:58.992889+00:00,1780307397,929,1780307397,929,True,59,207969,-68
2026-06-01T09:50:28.939396+00:00,2026-06-01T09:50:28.993111+00:00,1780307427,934,1780307427,934,True,54,237969,-83
2026-06-01T09:50:58.949188+00:00,2026-06-01T09:50:58.993382+00:00,1780307457,947,1780307457,947,True,44,267969,-70
2026-06-01T09:51:28.959853+00:00,2026-06-01T09:51:28.993611+00:00,1780307487,957,1780307487,957,True,34,297969,-50
2026-06-01T09:51:58.967579+00:00,2026-06-01T09:51:58.993868+00:00,1780307517,960,1780307517,960,True,26,327969,-34
2026-06-01T09:52:28.979302+00:00,2026-06-01T09:52:28.994112+00:00,1780307547,972,1780307547,972,True,15,357968,-14
2026-06-01T09:52:58.990954+00:00,2026-06-01T09:52:59.044363+00:00,1780307577,988,1780307577,988,True,54,388018,-22
2026-06-01T09:53:29.003422+00:00,2026-06-01T09:53:29.044635+00:00,1780307608,0,1780307608,0,True,41,418018,-21
2026-06-01T09:53:59.019309+00:00,2026-06-01T09:53:59.045679+00:00,1780307638,13,1780307638,13,True,26,448018,-13
2026-06-01T09:54:29.032535+00:00,2026-06-01T09:54:29.095926+00:00,1780307668,25,1780307668,25,True,63,478068,-23
2026-06-01T09:54:59.044473+00:00,2026-06-01T09:54:59.096207+00:00,1780307698,39,1780307698,39,True,52,508067,-25
2026-06-01T09:55:29.053671+00:00,2026-06-01T09:55:29.096417+00:00,1780307728,48,1780307728,48,True,43,538067,-23
2026-06-01T09:55:59.064046+00:00,2026-06-01T09:55:59.096708+00:00,1780307758,59,1780307758,59,True,32,568067,-18
2026-06-01T09:56:29.075739+00:00,2026-06-01T09:56:29.096932+00:00,1780307788,70,1780307788,70,True,21,598067,-12
2026-06-01T09:56:59.086438+00:00,2026-06-01T09:56:59.147156+00:00,1780307818,78,1780307818,78,True,61,628117,-16
2026-06-01T09:57:29.095082+00:00,2026-06-01T09:57:29.147419+00:00,1780307848,86,1780307848,86,True,52,658116,-18
2026-06-01T09:57:59.105529+00:00,2026-06-01T09:57:59.148433+00:00,1780307878,95,1780307878,95,True,43,688116,-17
2026-06-01T09:58:29.123213+00:00,2026-06-01T09:58:29.148680+00:00,1780307908,113,1780307908,113,True,25,718116,-13
2026-06-01T09:58:59.138946+00:00,2026-06-01T09:58:59.199012+00:00,1780307938,130,1780307938,130,True,61,748166,-16
2026-06-01T09:59:29.147838+00:00,2026-06-01T09:59:29.199237+00:00,1780307968,138,1780307968,138,True,52,778166,-16
2026-06-01T09:59:59.161536+00:00,2026-06-01T09:59:59.199508+00:00,1780307998,152,1780307998,152,True,38,808165,-15
2026-06-01T10:00:29.169010+00:00,2026-06-01T10:00:29.199755+00:00,1780308028,159,1780308028,159,True,30,838165,-12
2026-06-01T10:00:59.179743+00:00,2026-06-01T10:00:59.200110+00:00,1780308058,165,1780308058,165,True,21,868165,-10
