pc_iso,pc_utc_sec,pc_utc_ms,gw_utc_sec,gw_utc_ms,rtt_ms,gw_offset_ms,error_ms,abs_error_ms
2026-05-31T06:10:41.061767+00:00,1780207841,61,1780207840,105,150,1780207820620,-956,956
2026-05-31T06:11:41.427940+00:00,1780207901,427,1780207900,432,202,1780207820581,-995,995
2026-05-31T06:12:41.741431+00:00,1780207961,741,1780207960,743,203,1780207820578,-998,998
2026-05-31T06:13:42.048235+00:00,1780208022,48,1780208021,61,197,1780207820589,-987,987
2026-05-31T06:14:42.468959+00:00,1780208082,468,1780208081,505,193,1780207820612,-963,963
2026-05-31T06:15:42.717086+00:00,1780208142,717,1780208141,783,197,1780207820641,-934,934
2026-05-31T06:16:43.035035+00:00,1780208203,35,1780208202,89,143,1780207820629,-946,946
2026-05-31T06:17:43.246919+00:00,1780208263,246,1780208262,326,115,1780207820654,-920,920
2026-05-31T06:18:43.618920+00:00,1780208323,618,1780208322,641,202,1780207820596,-977,977
2026-05-31T06:19:43.932201+00:00,1780208383,932,1780208382,941,202,1780207820583,-991,991
2026-05-31T06:20:44.196369+00:00,1780208444,196,1780208443,244,153,1780207820621,-952,952
2026-05-31T06:21:45.327469+00:00,1780208505,327,1780208504,387,143,1780207820632,-940,940
2026-05-31T06:22:45.683688+00:00,1780208565,683,1780208564,702,197,1780207820590,-981,981
2026-05-31T06:23:45.927580+00:00,1780208625,927,1780208625,2,198,1780207820639,-925,925
2026-05-31T06:24:46.207579+00:00,1780208686,207,1780208685,237,192,1780207820593,-970,970
2026-05-31T06:25:46.465995+00:00,1780208746,465,1780208745,542,206,1780207820640,-923,923
2026-05-31T06:26:46.829014+00:00,1780208806,829,1780208805,853,264,1780207820587,-976,976
2026-05-31T06:27:47.145573+00:00,1780208867,145,1780208866,184,260,1780207820601,-961,961
2026-05-31T06:28:47.451365+00:00,1780208927,451,1780208926,478,199,1780207820589,-973,973
2026-05-31T06:29:47.720707+00:00,1780208987,720,1780208986,833,209,1780207820674,-887,887
2026-05-31T06:30:48.084629+00:00,1780209048,84,1780209047,125,203,1780207820602,-959,959
2026-05-31T06:31:48.397588+00:00,1780209108,397,1780209107,426,202,1780207820589,-971,971
2026-05-31T06:32:48.703904+00:00,1780209168,703,1780209167,737,196,1780207820593,-966,966
2026-05-31T06:33:49.022949+00:00,1780209229,22,1780209228,70,264,1780207820607,-952,952
2026-05-31T06:34:49.283860+00:00,1780209289,283,1780209288,339,150,1780207820614,-944,944
2026-05-31T06:35:49.651054+00:00,1780209349,651,1780209348,679,206,1780207820586,-972,972
2026-05-31T06:36:49.970099+00:00,1780209409,970,1780209409,37,177,1780207820625,-933,933
2026-05-31T06:37:50.275302+00:00,1780209470,275,1780209469,313,204,1780207820595,-962,962
2026-05-31T06:38:50.590400+00:00,1780209530,590,1780209529,618,206,1780207820585,-972,972
2026-05-31T06:39:50.895527+00:00,1780209590,895,1780209589,932,198,1780207820593,-963,963
2026-05-31T06:40:51.210025+00:00,1780209651,210,1780209650,263,198,1780207820609,-947,947
