pc_iso,pc_utc_sec,pc_utc_ms,oracle_utc_sec,oracle_utc_ms,oracle_rtt_ms,oracle_theta_ms,gw_utc_sec,gw_utc_ms,gw_rtt_ms,gw_offset_ms,error_vs_pc_ms,error_vs_oracle_ms,abs_error_vs_pc_ms,abs_error_vs_oracle_ms
2026-06-01T03:59:21.691167+00:00,1780286361,691,1780286361,806,22,61.604976654052734,1780286360,731,39,1780286222110,-960,-1075,960,1075
2026-06-01T04:00:21.759852+00:00,1780286421,759,1780286421,871,21,59.63611602783203,1780286420,797,44,1780286222108,-962,-1074,962,1074
2026-06-01T04:01:21.813077+00:00,1780286481,813,1780286481,916,20,60.80937385559082,1780286480,853,34,1780286222111,-960,-1063,960,1063
2026-06-01T04:02:21.864439+00:00,1780286541,864,1780286541,980,24,61.04540824890137,1780286540,903,33,1780286222110,-961,-1077,961,1077
2026-06-01T04:03:21.925370+00:00,1780286601,925,1780286602,33,19,60.29844284057617,1780286600,965,40,1780286222111,-960,-1068,960,1068
2026-06-01T04:04:21.993999+00:00,1780286661,993,1780286662,112,25,60.90891361236572,1780286661,32,44,1780286222109,-961,-1080,961,1080
2026-06-01T04:05:22.063463+00:00,1780286722,63,1780286722,166,20,60.57894229888916,1780286721,100,46,1780286222108,-963,-1066,963,1066
2026-06-01T04:06:22.114685+00:00,1780286782,114,1780286782,228,25,60.5626106262207,1780286781,153,33,1780286222110,-961,-1075,961,1075
2026-06-01T04:07:22.176889+00:00,1780286842,176,1780286842,286,21,58.57205390930176,1780286841,215,41,1780286222110,-961,-1071,961,1071
2026-06-01T04:08:22.237958+00:00,1780286902,237,1780286902,336,19,59.75747108459473,1780286901,277,40,1780286222111,-960,-1059,960,1059
2026-06-01T04:09:22.290177+00:00,1780286962,290,1780286962,390,19,59.71240997314453,1780286961,330,34,1780286222112,-960,-1060,960,1060
2026-06-01T04:10:22.350184+00:00,1780287022,350,1780287022,455,22,58.3186149597168,1780287021,389,39,1780286222111,-961,-1066,961,1066
2026-06-01T04:11:22.410196+00:00,1780287082,410,1780287082,513,19,59.40890312194824,1780287081,447,38,1780286222109,-963,-1066,963,1066
2026-06-01T04:12:22.470292+00:00,1780287142,470,1780287142,577,25,59.57150459289551,1780287141,510,39,1780286222112,-960,-1067,960,1067
2026-06-01T04:13:22.530465+00:00,1780287202,530,1780287202,641,24,59.42940711975098,1780287201,568,38,1780286222110,-962,-1073,962,1073
2026-06-01T04:14:22.600555+00:00,1780287262,600,1780287262,709,18,59.22102928161621,1780287261,636,45,1780286222109,-964,-1073,964,1073
2026-06-01T04:15:22.669255+00:00,1780287322,669,1780287322,780,25,59.55052375793457,1780287321,705,44,1780286222109,-964,-1075,964,1075
2026-06-01T04:16:22.729760+00:00,1780287382,729,1780287382,838,26,59.531450271606445,1780287381,765,39,1780286222109,-964,-1073,964,1073
2026-06-01T04:17:22.799346+00:00,1780287442,799,1780287442,900,21,57.85560607910156,1780287441,835,45,1780286222109,-964,-1065,964,1065
2026-06-01T04:18:22.851164+00:00,1780287502,851,1780287502,956,19,59.42893028259277,1780287501,890,33,1780286222113,-961,-1066,961,1066
2026-06-01T04:19:22.920583+00:00,1780287562,920,1780287563,36,25,59.18002128601074,1780287561,957,45,1780286222110,-963,-1079,963,1079
2026-06-01T04:20:22.972030+00:00,1780287622,972,1780287623,86,23,60.10305881500244,1780287622,10,33,1780286222112,-962,-1076,962,1076
2026-06-01T04:21:23.032788+00:00,1780287683,32,1780287683,146,22,60.2259635925293,1780287682,72,39,1780286222113,-960,-1074,960,1074
2026-06-01T04:22:23.101121+00:00,1780287743,101,1780287743,214,22,60.894012451171875,1780287742,137,44,1780286222110,-964,-1077,964,1077
2026-06-01T04:23:23.161313+00:00,1780287803,161,1780287803,269,24,60.78147888183594,1780287802,198,38,1780286222111,-963,-1071,963,1071
2026-06-01T04:24:23.247310+00:00,1780287863,247,1780287863,331,25,33.600568771362305,1780287862,257,39,1780286222110,-990,-1074,990,1074
2026-06-01T04:25:23.312264+00:00,1780287923,312,1780287923,389,23,29.930472373962402,1780287922,321,39,1780286222113,-991,-1068,991,1068
2026-06-01T04:26:23.366541+00:00,1780287983,366,1780287983,445,22,32.16958045959473,1780287982,376,34,1780286222113,-990,-1069,990,1069
2026-06-01T04:27:23.427485+00:00,1780288043,427,1780288043,508,20,30.796289443969727,1780288042,433,39,1780286222110,-994,-1075,994,1075
2026-06-01T04:28:23.488175+00:00,1780288103,488,1780288103,575,24,29.3118953704834,1780288102,494,39,1780286222111,-994,-1081,994,1081
2026-06-01T04:29:23.540320+00:00,1780288163,540,1780288163,630,25,29.189467430114746,1780288162,549,33,1780286222114,-991,-1081,991,1081
