pair_type,pc_iso_n1,node1_utc_sec,node1_utc_ms,node1_error_ms,node1_drift_ppm,pc_iso_n2,node2_utc_sec,node2_utc_ms,node2_error_ms,node2_drift_ppm,internode_diff_ms
unpaired_n2,,,,,,2026-05-31T09:47:56.223114+00:00,1780220875,112,-1111,0,
unpaired_n2,,,,,,2026-05-31T09:48:26.236973+00:00,1780220905,151,-1085,1000,
unpaired_n2,,,,,,2026-05-31T09:48:55.847713+00:00,1780220935,48,-799,-593,
unpaired_n2,,,,,,2026-05-31T09:49:25.394510+00:00,1780220965,66,-328,-540,
unpaired_n2,,,,,,2026-05-31T09:49:55.721953+00:00,1780220994,987,-734,-807,
unpaired_n2,,,,,,2026-05-31T09:50:26.336074+00:00,1780221025,23,-1313,-1000,
unpaired_n2,,,,,,2026-05-31T09:50:56.335754+00:00,1780221055,281,-1054,-458,
unpaired_n2,,,,,,2026-05-31T09:51:10.221748+00:00,1780221069,185,-1036,0,
unpaired_n1,2026-05-31T09:51:15.523419+00:00,1780221074,487,-1036,0,,,,,,
paired,2026-05-31T09:51:25.866294+00:00,1780221085,321,-545,-1000,2026-05-31T09:51:26.385531+00:00,1780221085,320,-1065,-928,1
paired,2026-05-31T09:51:55.867077+00:00,1780221115,326,-541,-319,2026-05-31T09:51:56.385342+00:00,1780221115,324,-1061,-313,2
paired,2026-05-31T09:52:25.868810+00:00,1780221145,364,-504,-1000,2026-05-31T09:52:26.535333+00:00,1780221145,363,-1172,-1000,1
paired,2026-05-31T09:52:55.869603+00:00,1780221175,395,-474,-1000,2026-05-31T09:52:56.485032+00:00,1780221175,393,-1092,-744,2
paired,2026-05-31T09:53:25.871352+00:00,1780221205,413,-458,-627,2026-05-31T09:53:26.484988+00:00,1780221205,412,-1072,-463,1
paired,2026-05-31T09:53:55.872129+00:00,1780221235,446,-426,-595,2026-05-31T09:53:56.584790+00:00,1780221235,445,-1139,-496,1
paired,2026-05-31T09:54:25.872929+00:00,1780221265,484,-388,-372,2026-05-31T09:54:26.534439+00:00,1780221265,483,-1051,-316,1
paired,2026-05-31T09:54:55.874685+00:00,1780221294,948,-926,-1000,2026-05-31T09:54:56.584236+00:00,1780221294,946,-1638,-1000,2
paired,2026-05-31T09:55:25.875474+00:00,1780221324,972,-903,-1000,2026-05-31T09:55:26.684096+00:00,1780221324,971,-1713,-1000,1
paired,2026-05-31T09:55:55.877216+00:00,1780221355,597,-280,-1000,2026-05-31T09:55:56.633906+00:00,1780221355,596,-1037,-905,1
paired,2026-05-31T09:56:25.877963+00:00,1780221385,608,-269,-836,2026-05-31T09:56:26.438440+00:00,1780221385,607,-831,-1000,1
paired,2026-05-31T09:56:55.878695+00:00,1780221415,594,-284,-635,2026-05-31T09:56:55.974688+00:00,1780221415,592,-382,-936,2
paired,2026-05-31T09:57:25.880522+00:00,1780221445,602,-278,-516,2026-05-31T09:57:26.683337+00:00,1780221445,601,-1082,-224,1
paired,2026-05-31T09:57:55.881182+00:00,1780221475,414,-467,-523,2026-05-31T09:57:56.683141+00:00,1780221475,412,-1271,-873,2
paired,2026-05-31T09:58:25.882905+00:00,1780221505,427,-455,-514,2026-05-31T09:58:26.682834+00:00,1780221505,425,-1257,1000,2
paired,2026-05-31T09:58:55.883693+00:00,1780221535,676,-207,-407,2026-05-31T09:58:56.682695+00:00,1780221535,674,-1008,1000,2
paired,2026-05-31T09:59:25.884364+00:00,1780221565,678,-206,-323,2026-05-31T09:59:26.782435+00:00,1780221565,677,-1105,-602,1
paired,2026-05-31T09:59:55.886109+00:00,1780221595,665,-221,-293,2026-05-31T09:59:56.782097+00:00,1780221595,664,-1118,-338,1
paired,2026-05-31T10:00:25.886813+00:00,1780221625,687,-199,-261,2026-05-31T10:00:26.732043+00:00,1780221625,686,-1046,-438,1
paired,2026-05-31T10:00:55.888460+00:00,1780221655,712,-176,-229,2026-05-31T10:00:56.781527+00:00,1780221655,711,-1070,-71,1
paired,2026-05-31T10:01:25.889151+00:00,1780221685,745,-144,-206,2026-05-31T10:01:26.831216+00:00,1780221685,744,-1087,1000,1
paired,2026-05-31T10:01:55.890878+00:00,1780221715,755,-135,-174,2026-05-31T10:01:56.780941+00:00,1780221715,754,-1026,1000,1
paired,2026-05-31T10:02:26.931531+00:00,1780221745,777,-1154,-172,2026-05-31T10:02:26.774597+00:00,1780221745,776,-998,-526,1
paired,2026-05-31T10:02:55.892187+00:00,1780221775,793,-99,-149,2026-05-31T10:02:56.305784+00:00,1780221775,792,-513,109,1
paired,2026-05-31T10:03:25.893842+00:00,1780221805,794,-99,-130,2026-05-31T10:03:25.869800+00:00,1780221805,793,-76,272,1
paired,2026-05-31T10:03:55.894519+00:00,1780221835,832,-62,-116,2026-05-31T10:03:56.879835+00:00,1780221835,831,-1048,-168,1
paired,2026-05-31T10:04:25.895144+00:00,1780221865,861,-34,-99,2026-05-31T10:04:26.876780+00:00,1780221865,859,-1017,84,2
paired,2026-05-31T10:04:56.979788+00:00,1780221895,858,-1121,-98,2026-05-31T10:04:56.978999+00:00,1780221895,857,-1121,102,1
paired,2026-05-31T10:05:26.979423+00:00,1780221925,863,-1116,-96,2026-05-31T10:05:26.978546+00:00,1780221925,862,-1116,-375,1
paired,2026-05-31T10:05:56.929084+00:00,1780221955,929,-1000,-82,2026-05-31T10:05:56.928265+00:00,1780221955,927,-1001,612,2
paired,2026-05-31T10:06:26.928758+00:00,1780221985,931,-997,-69,2026-05-31T10:06:26.927931+00:00,1780221985,930,-997,279,1
paired,2026-05-31T10:06:57.028461+00:00,1780222015,956,-1072,-41,2026-05-31T10:06:57.027695+00:00,1780222015,955,-1072,-100,1
paired,2026-05-31T10:07:27.128104+00:00,1780222045,995,-1133,-50,2026-05-31T10:07:27.077363+00:00,1780222045,994,-1083,-70,1
paired,2026-05-31T10:07:57.077806+00:00,1780222075,964,-1113,127,2026-05-31T10:07:57.077001+00:00,1780222075,963,-1114,-349,1
paired,2026-05-31T10:08:27.100400+00:00,1780222105,993,-1107,76,2026-05-31T10:08:27.085542+00:00,1780222105,992,-1093,225,1
paired,2026-05-31T10:08:57.043988+00:00,1780222136,26,-1017,-24,2026-05-31T10:08:56.617620+00:00,1780222136,25,-592,228,1
paired,2026-05-31T10:09:27.142580+00:00,1780222166,65,-1077,80,2026-05-31T10:09:26.180136+00:00,1780222166,64,-116,-534,1
paired,2026-05-31T10:09:57.091748+00:00,1780222196,90,-1001,-50,2026-05-31T10:09:57.091305+00:00,1780222196,89,-1002,-501,1
paired,2026-05-31T10:10:27.191088+00:00,1780222226,130,-1061,880,2026-05-31T10:10:27.190644+00:00,1780222226,129,-1061,-32,1
paired,2026-05-31T10:10:57.140469+00:00,1780222256,157,-983,1000,2026-05-31T10:10:57.139898+00:00,1780222256,156,-983,144,1
paired,2026-05-31T10:11:27.189833+00:00,1780222286,175,-1014,-59,2026-05-31T10:11:27.189288+00:00,1780222286,174,-1015,386,1
paired,2026-05-31T10:11:57.189197+00:00,1780222316,169,-1020,-76,2026-05-31T10:11:57.188742+00:00,1780222316,168,-1020,537,1
paired,2026-05-31T10:12:27.238566+00:00,1780222346,201,-1037,-53,2026-05-31T10:12:27.238071+00:00,1780222346,200,-1038,-52,1
paired,2026-05-31T10:12:57.287930+00:00,1780222376,260,-1027,14,2026-05-31T10:12:57.284725+00:00,1780222376,259,-1025,5,1
paired,2026-05-31T10:13:27.337260+00:00,1780222406,277,-1060,310,2026-05-31T10:13:27.356905+00:00,1780222406,276,-1080,-230,1
paired,2026-05-31T10:13:57.336644+00:00,1780222436,261,-1075,285,2026-05-31T10:13:57.336239+00:00,1780222436,260,-1076,87,1
paired,2026-05-31T10:14:27.436951+00:00,1780222466,300,-1136,-119,2026-05-31T10:14:27.385722+00:00,1780222466,299,-1086,-520,1
paired,2026-05-31T10:14:57.436301+00:00,1780222496,352,-1084,-129,2026-05-31T10:14:56.959343+00:00,1780222496,351,-608,-290,1
paired,2026-05-31T10:15:27.384728+00:00,1780222526,391,-993,54,2026-05-31T10:15:26.503546+00:00,1780222526,390,-113,-161,1
paired,2026-05-31T10:15:57.434164+00:00,1780222556,413,-1021,21,2026-05-31T10:15:57.434053+00:00,1780222556,412,-1022,-6,1
paired,2026-05-31T10:16:27.483473+00:00,1780222586,420,-1063,-21,2026-05-31T10:16:27.483318+00:00,1780222586,419,-1064,-104,1
paired,2026-05-31T10:16:57.482833+00:00,1780222616,435,-1047,4,2026-05-31T10:16:57.482673+00:00,1780222616,434,-1048,112,1
paired,2026-05-31T10:17:27.432215+00:00,1780222646,439,-993,-86,2026-05-31T10:17:27.432049+00:00,1780222646,438,-994,303,1
paired,2026-05-31T10:17:57.481646+00:00,1780222676,440,-1041,115,2026-05-31T10:17:57.481597+00:00,1780222676,439,-1042,360,1
paired,2026-05-31T10:18:27.582606+00:00,1780222706,469,-1113,-78,2026-05-31T10:18:27.581105+00:00,1780222706,468,-1113,-129,1
paired,2026-05-31T10:18:57.531265+00:00,1780222736,475,-1056,-81,2026-05-31T10:18:57.530334+00:00,1780222736,474,-1056,-427,1
paired,2026-05-31T10:19:27.530599+00:00,1780222766,499,-1031,-62,2026-05-31T10:19:27.529603+00:00,1780222766,497,-1032,-211,2
paired,2026-05-31T10:19:57.579950+00:00,1780222796,534,-1045,-108,2026-05-31T10:19:57.579019+00:00,1780222796,533,-1046,71,1
paired,2026-05-31T10:20:27.578360+00:00,1780222826,548,-1030,55,2026-05-31T10:20:27.668225+00:00,1780222826,547,-1121,-5,1
paired,2026-05-31T10:20:57.577695+00:00,1780222856,599,-978,51,2026-05-31T10:20:57.327544+00:00,1780222856,598,-729,-427,1
paired,2026-05-31T10:21:27.678041+00:00,1780222886,605,-1073,-136,2026-05-31T10:21:26.870474+00:00,1780222886,604,-266,-131,1
paired,2026-05-31T10:21:57.627385+00:00,1780222916,596,-1031,-138,2026-05-31T10:21:57.664679+00:00,1780222916,594,-1070,219,2
paired,2026-05-31T10:22:27.726766+00:00,1780222946,628,-1098,-25,2026-05-31T10:22:27.670419+00:00,1780222946,627,-1043,-214,1
paired,2026-05-31T10:22:57.726085+00:00,1780222976,662,-1064,68,2026-05-31T10:22:57.684912+00:00,1780222976,661,-1023,-361,1
paired,2026-05-31T10:23:27.725453+00:00,1780223006,687,-1038,38,2026-05-31T10:23:27.687934+00:00,1780223006,686,-1001,-211,1
paired,2026-05-31T10:23:57.724759+00:00,1780223036,691,-1033,70,2026-05-31T10:23:57.712816+00:00,1780223036,690,-1022,-242,1
paired,2026-05-31T10:24:27.724095+00:00,1780223066,704,-1020,-59,2026-05-31T10:24:27.713093+00:00,1780223066,703,-1010,169,1
paired,2026-05-31T10:24:57.723492+00:00,1780223096,696,-1027,38,2026-05-31T10:24:57.725639+00:00,1780223096,695,-1030,106,1
paired,2026-05-31T10:25:27.822810+00:00,1780223126,709,-1113,-88,2026-05-31T10:25:27.728385+00:00,1780223126,708,-1020,422,1
paired,2026-05-31T10:25:57.822159+00:00,1780223156,777,-1045,6,2026-05-31T10:25:57.731217+00:00,1780223156,776,-955,229,1
paired,2026-05-31T10:26:27.821502+00:00,1780223186,816,-1005,-112,2026-05-31T10:26:27.734564+00:00,1780223186,815,-919,84,1
paired,2026-05-31T10:26:57.920885+00:00,1780223216,826,-1094,-68,2026-05-31T10:26:57.670976+00:00,1780223216,824,-846,-166,2
paired,2026-05-31T10:27:27.920191+00:00,1780223246,834,-1086,-63,2026-05-31T10:27:27.205683+00:00,1780223246,832,-373,-248,2
paired,2026-05-31T10:27:57.919550+00:00,1780223276,858,-1061,-37,2026-05-31T10:27:57.745987+00:00,1780223276,857,-888,-334,1
paired,2026-05-31T10:28:27.918831+00:00,1780223306,891,-1027,-49,2026-05-31T10:28:27.746378+00:00,1780223306,890,-856,117,1
paired,2026-05-31T10:28:57.968182+00:00,1780223336,920,-1048,2,2026-05-31T10:28:57.749357+00:00,1780223336,919,-830,383,1
paired,2026-05-31T10:29:27.967455+00:00,1780223366,930,-1037,26,2026-05-31T10:29:27.752269+00:00,1780223366,929,-823,-47,1
paired,2026-05-31T10:29:58.066879+00:00,1780223396,979,-1087,118,2026-05-31T10:29:57.758039+00:00,1780223396,978,-780,-377,1
paired,2026-05-31T10:30:28.116233+00:00,1780223427,14,-1102,30,2026-05-31T10:30:27.758178+00:00,1780223427,13,-745,250,1
paired,2026-05-31T10:30:58.065522+00:00,1780223457,15,-1050,-111,2026-05-31T10:30:57.761185+00:00,1780223457,14,-747,197,1
paired,2026-05-31T10:31:28.114825+00:00,1780223487,48,-1066,-69,2026-05-31T10:31:27.764191+00:00,1780223487,47,-717,2,1
paired,2026-05-31T10:31:58.164168+00:00,1780223517,83,-1081,-5,2026-05-31T10:31:57.769883+00:00,1780223517,82,-687,-268,1
paired,2026-05-31T10:32:28.113483+00:00,1780223547,123,-990,-25,2026-05-31T10:32:27.770279+00:00,1780223547,121,-649,-16,2
paired,2026-05-31T10:32:58.163026+00:00,1780223577,118,-1045,-110,2026-05-31T10:32:57.899680+00:00,1780223577,117,-782,-73,1
paired,2026-05-31T10:33:28.162412+00:00,1780223607,122,-1040,-32,2026-05-31T10:33:27.544700+00:00,1780223607,121,-423,285,1
paired,2026-05-31T10:33:58.162315+00:00,1780223637,122,-1040,80,2026-05-31T10:33:58.161705+00:00,1780223637,121,-1040,60,1
paired,2026-05-31T10:34:28.211330+00:00,1780223667,137,-1074,-11,2026-05-31T10:34:27.782652+00:00,1780223667,135,-647,0,2
paired,2026-05-31T10:34:58.211603+00:00,1780223697,203,-1008,-46,2026-05-31T10:34:57.785862+00:00,1780223697,202,-583,94,1
paired,2026-05-31T10:35:28.261060+00:00,1780223727,206,-1055,-24,2026-05-31T10:35:27.789137+00:00,1780223727,205,-584,179,1
paired,2026-05-31T10:35:58.260516+00:00,1780223757,249,-1011,-43,2026-05-31T10:35:57.794577+00:00,1780223757,248,-546,-451,1
paired,2026-05-31T10:36:28.210038+00:00,1780223787,269,-941,-114,2026-05-31T10:36:27.795350+00:00,1780223787,268,-527,92,1
paired,2026-05-31T10:36:58.309439+00:00,1780223817,303,-1006,37,2026-05-31T10:36:57.798714+00:00,1780223817,301,-497,115,2
paired,2026-05-31T10:37:28.371163+00:00,1780223847,311,-1060,-22,2026-05-31T10:37:27.882378+00:00,1780223847,310,-572,172,1
paired,2026-05-31T10:37:58.471184+00:00,1780223877,313,-1158,79,2026-05-31T10:37:57.886034+00:00,1780223877,312,-574,296,1
paired,2026-05-31T10:38:28.471173+00:00,1780223907,337,-1134,20,2026-05-31T10:38:27.905884+00:00,1780223907,336,-569,113,1
paired,2026-05-31T10:38:58.421330+00:00,1780223937,376,-1045,-13,2026-05-31T10:38:57.920339+00:00,1780223937,375,-545,175,1
paired,2026-05-31T10:39:28.471394+00:00,1780223967,439,-1032,-12,2026-05-31T10:39:27.936384+00:00,1780223967,438,-498,309,1
paired,2026-05-31T10:39:58.572046+00:00,1780223997,459,-1113,-34,2026-05-31T10:39:58.571464+00:00,1780223997,458,-1113,-557,1
paired,2026-05-31T10:40:28.572145+00:00,1780224027,443,-1129,-24,2026-05-31T10:40:28.571457+00:00,1780224027,441,-1130,-181,2
paired,2026-05-31T10:40:58.522457+00:00,1780224057,462,-1060,116,2026-05-31T10:40:57.948919+00:00,1780224057,461,-487,-179,1
paired,2026-05-31T10:41:28.571532+00:00,1780224087,518,-1053,13,2026-05-31T10:41:27.950078+00:00,1780224087,517,-433,545,1
paired,2026-05-31T10:41:58.572557+00:00,1780224117,533,-1039,-42,2026-05-31T10:41:57.953922+00:00,1780224117,532,-421,458,1
paired,2026-05-31T10:42:28.672536+00:00,1780224147,542,-1130,97,2026-05-31T10:42:27.960335+00:00,1780224147,541,-419,-237,1
paired,2026-05-31T10:42:58.672654+00:00,1780224177,548,-1124,81,2026-05-31T10:42:57.963789+00:00,1780224177,547,-416,-313,1
paired,2026-05-31T10:43:28.622989+00:00,1780224207,604,-1018,51,2026-05-31T10:43:27.965065+00:00,1780224207,603,-362,333,1
paired,2026-05-31T10:43:58.672718+00:00,1780224237,644,-1028,4,2026-05-31T10:43:57.969049+00:00,1780224237,643,-326,520,1
paired,2026-05-31T10:44:28.672822+00:00,1780224267,602,-1070,40,2026-05-31T10:44:27.972807+00:00,1780224267,601,-371,33,1
paired,2026-05-31T10:44:58.722855+00:00,1780224297,620,-1102,23,2026-05-31T10:44:57.976726+00:00,1780224297,619,-357,-84,1
paired,2026-05-31T10:45:11.556842+00:00,1780224310,791,-765,0,2026-05-31T10:45:10.209032+00:00,1780224309,139,-1070,0,1652
unpaired_n1,2026-05-31T10:45:21.570044+00:00,1780224320,841,-729,1000,,,,,,
paired,2026-05-31T10:45:28.823218+00:00,1780224327,650,-1173,-500,2026-05-31T10:45:28.822601+00:00,1780224327,649,-1173,-1000,1
