pc_iso,pc_utc_sec,pc_utc_ms,node_utc_sec,node_utc_ms,node_local_ms,drift_ppm,error_ms,abs_error_ms
2026-05-31T12:47:33.117368+00:00,1780231653,117,1780231652,822,5394452,-80,-295,295
2026-05-31T12:48:03.945762+00:00,1780231683,945,1780231682,818,5424452,-222,-1127,1127
2026-05-31T12:48:33.996088+00:00,1780231713,996,1780231712,831,5454501,32,-1165,1165
2026-05-31T12:49:03.946611+00:00,1780231743,946,1780231742,904,5484451,253,-1042,1042
2026-05-31T12:49:34.044514+00:00,1780231774,44,1780231772,917,5514551,3,-1127,1127
2026-05-31T12:50:04.047289+00:00,1780231804,47,1780231802,918,5544551,-73,-1129,1129
2026-05-31T12:50:34.047987+00:00,1780231834,47,1780231832,936,5574551,-108,-1111,1111
2026-05-31T12:51:04.048223+00:00,1780231864,48,1780231862,954,5604551,108,-1094,1094
2026-05-31T12:51:34.148551+00:00,1780231894,148,1780231892,992,5634651,67,-1156,1156
2026-05-31T12:52:04.098789+00:00,1780231924,98,1780231922,989,5664601,324,-1109,1109
2026-05-31T12:52:34.099121+00:00,1780231954,99,1780231953,3,5694601,-468,-1096,1096
2026-05-31T12:53:03.926275+00:00,1780231983,926,1780231983,63,5724651,166,-863,863
2026-05-31T12:53:33.466181+00:00,1780232013,466,1780232013,69,5754701,130,-397,397
2026-05-31T12:54:04.250141+00:00,1780232044,250,1780232043,93,5784751,-62,-1157,1157
2026-05-31T12:54:34.250160+00:00,1780232074,250,1780232073,123,5814751,-194,-1127,1127
2026-05-31T12:55:04.250538+00:00,1780232104,250,1780232103,166,5844751,285,-1084,1084
2026-05-31T12:55:34.350954+00:00,1780232134,350,1780232133,206,5874851,-78,-1144,1144
2026-05-31T12:56:04.351397+00:00,1780232164,351,1780232163,205,5904851,-216,-1146,1146
2026-05-31T12:56:34.351323+00:00,1780232194,351,1780232193,236,5934851,-264,-1115,1115
2026-05-31T12:57:04.501491+00:00,1780232224,501,1780232223,290,5965001,-107,-1211,1211
2026-05-31T12:57:34.451707+00:00,1780232254,451,1780232253,299,5994951,47,-1152,1152
2026-05-31T12:58:04.402078+00:00,1780232284,402,1780232282,785,6024900,-941,-1617,1617
2026-05-31T12:58:34.402645+00:00,1780232314,402,1780232312,788,6054900,-1000,-1614,1614
2026-05-31T12:59:04.282765+00:00,1780232344,282,1780232343,327,6085000,-1000,-955,955
2026-05-31T12:59:33.821289+00:00,1780232373,821,1780232373,355,6115000,-1000,-466,466
2026-05-31T13:00:04.503580+00:00,1780232404,503,1780232403,387,6145000,-978,-1116,1116
2026-05-31T13:00:34.554049+00:00,1780232434,554,1780232433,412,6175050,-87,-1142,1142
