pc_utc_sec,pc_utc_ms,node_utc_sec,node_utc_ms,node_local_ms,drift_ppm,error_ms,abs_error_ms
1780206144,49,1780206143,655,48184,543,-394,394
1780206176,432,1780206175,339,79891,319,-1093,1093
1780206206,432,1780206205,351,109891,296,-1081,1081
1780206236,532,1780206235,326,139991,-185,-1206,1206
1780206266,533,1780206265,339,169991,-313,-1194,1194
1780206296,483,1780206295,353,199941,-231,-1130,1130
1780206326,433,1780206325,361,229891,150,-1072,1072
1780206356,596,1780206355,384,259941,-340,-1212,1212
1780206386,247,1780206385,402,289941,-116,-845,845
1780206415,799,1780206415,396,320041,-301,-403,403
1780206446,584,1780206445,407,350041,469,-1177,1177
1780206476,584,1780206475,481,380040,437,-1103,1103
1780206506,583,1780206505,494,410040,65,-1089,1089
1780206536,585,1780206535,494,440040,-275,-1091,1091
1780206566,585,1780206565,502,470040,-34,-1083,1083
1780206596,586,1780206595,491,500040,-115,-1095,1095
1780206626,586,1780206625,494,530040,638,-1092,1092
1780206656,636,1780206655,544,560090,587,-1092,1092
1780206686,684,1780206685,557,590140,27,-1127,1127
1780206716,687,1780206715,538,620140,-144,-1149,1149
1780206746,607,1780206745,541,650140,-211,-1066,1066
1780206776,144,1780206775,586,680140,-244,-558,558
1780206806,679,1780206805,595,710190,-215,-1084,1084
1780206836,679,1780206835,622,740190,-224,-1057,1057
1780206866,729,1780206865,660,770240,-227,-1069,1069
1780206896,779,1780206895,687,800290,-14,-1092,1092
1780206926,729,1780206925,716,830240,215,-1013,1013
1780206956,778,1780206955,750,860290,253,-1028,1028
