Modality,N,Mean,Std,Min,P5,Median,P95,Max
Air temperature (°C),447197,24.133,1.583,21.93,22.46,23.66,27.91,28.03
Relative humidity (%),447169,70.75,15.518,37.32,38.64,77.34,87.42,93.31
Pressure (hPa),447200,1019.168,1.237,1016.72,1017.14,1019.17,1021.29,1022.11
eCO₂ (ppm),460518,573.443,115.599,144.0,408.0,565.0,806.0,1014.0
TVOC (ppb),458685,124.526,82.05,1.0,27.0,109.0,295.0,488.0
Substrate VWC (%),97588,74.333,0.923,72.3,73.22,74.0,76.04,76.48
Substrate temp (°C),83323,22.688,0.497,20.68,21.875,22.812,23.18,23.5
Broadband SPL (dBFS),492456,53.826,1.161,47.76,52.07,53.77,55.71,82.81
Peak frequency (Hz),3605,43.0,0.0,43.0,43.0,43.0,43.0,43.0
AS7343 405 nm (mW m⁻²),47762,203.871,20.232,122.9,182.189,192.168,236.488,278.46
AS7343 425 nm (mW m⁻²),47762,1242.885,84.266,838.873,1153.829,1195.158,1387.077,1557.619
AS7343 450 nm (mW m⁻²),47762,2768.149,122.058,2266.896,2645.228,2699.492,2983.336,3113.494
AS7343 475 nm (mW m⁻²),47762,8110.094,405.706,5945.672,7708.738,7856.629,8788.339,9232.011
AS7343 515 nm (mW m⁻²),47761,2323.437,107.852,1747.18,2217.79,2257.924,2503.326,2843.31
AS7343 550 nm (mW m⁻²),47762,2068.285,108.391,1547.549,1965.323,2000.827,2256.646,2537.269
AS7343 555 nm (mW m⁻²),47762,2465.437,120.789,1985.835,2350.063,2389.456,2675.108,2956.969
AS7343 600 nm (mW m⁻²),47762,1645.845,70.492,1328.196,1575.403,1608.575,1766.935,1948.631
AS7343 640 nm (mW m⁻²),47761,1742.504,75.306,1355.421,1671.489,1696.775,1869.397,2122.251
AS7343 690 nm (mW m⁻²),47762,612.566,43.256,435.834,566.135,588.121,683.245,767.523
AS7343 745 nm (mW m⁻²),47762,982.119,131.921,444.426,841.564,905.451,1192.944,1492.524
AS7343 855 nm (mW m⁻²),49071,40.689,245.936,0.0,0.0,0.0,0.0,1812.268
AS7343 visible (mW m⁻²),47705,10721.279,606.099,8252.746,9807.817,10577.619,11880.891,12564.535
