,Air temp,RH,Pressure,eCO₂,TVOC,VWC,Substrate temp,Visible irr.,450 nm,515 nm,690 nm,SPL (dBFS)
Air temp,1.0,0.3682580553580608,0.020119334619115768,-0.03703295851588801,-0.03628054829532702,0.053028450023825294,0.8560927033259134,-0.08520008733427492,0.10454100218669682,-0.11245488579209409,-0.09239600114832135,0.33002703806692146
RH,0.3682580553580608,1.0,0.039213749941017964,0.13230063174513576,0.13290005258552245,0.07323224765412202,0.16623613300882026,-0.12124030910195356,0.022226539486180637,-0.13011581236105693,-0.07190418878977693,0.09503942213441856
Pressure,0.020119334619115768,0.039213749941017964,1.0,0.450625046652885,0.4501630441653959,-0.17125808637071624,0.007712658311928096,0.11937037806932885,-0.017177949776854468,0.04632103440585267,0.1566198255218564,-0.15094854184860718
eCO₂,-0.03703295851588801,0.13230063174513576,0.450625046652885,1.0,0.9998461649307959,-0.5990497273456594,0.10944152330551757,0.5525979002458102,0.03876991793641989,0.11751915889300257,0.42679617467565334,-0.3798506283205429
TVOC,-0.03628054829532702,0.13290005258552245,0.4501630441653959,0.9998461649307959,1.0,-0.5986809455938338,0.1099673047992039,0.5526672105523323,0.03890561039474886,0.117721556179313,0.42640350216966344,-0.37981216852808597
VWC,0.053028450023825294,0.07323224765412202,-0.17125808637071624,-0.5990497273456594,-0.5986809455938338,1.0,-0.057925619372682646,-0.4960593175972262,-0.09969114474826539,-0.23512039902921822,-0.4526419178559585,0.35787202879283453
Substrate temp,0.8560927033259134,0.16623613300882026,0.007712658311928096,0.10944152330551757,0.1099673047992039,-0.057925619372682646,1.0,0.23337858150010815,0.20740761087891046,0.012902399055970197,0.07579322995511309,0.2526585176057488
Visible irr.,-0.08520008733427492,-0.12124030910195356,0.11937037806932885,0.5525979002458102,0.5526672105523323,-0.4960593175972262,0.23337858150010815,1.0,0.59160302423232,0.5741550642567861,0.7486734944507577,-0.16332367594000521
450 nm,0.10454100218669682,0.022226539486180637,-0.017177949776854468,0.03876991793641989,0.03890561039474886,-0.09969114474826539,0.20740761087891046,0.59160302423232,1.0,0.5505082037130644,0.6153782414428908,0.22344575674093514
515 nm,-0.11245488579209409,-0.13011581236105693,0.04632103440585267,0.11751915889300257,0.117721556179313,-0.23512039902921822,0.012902399055970197,0.5741550642567861,0.5505082037130644,1.0,0.6035010918316102,0.07085748804597854
690 nm,-0.09239600114832135,-0.07190418878977693,0.1566198255218564,0.42679617467565334,0.42640350216966344,-0.4526419178559585,0.07579322995511309,0.7486734944507577,0.6153782414428908,0.6035010918316102,1.0,-0.07095894749797901
SPL (dBFS),0.33002703806692146,0.09503942213441856,-0.15094854184860718,-0.3798506283205429,-0.37981216852808597,0.35787202879283453,0.2526585176057488,-0.16332367594000521,0.22344575674093514,0.07085748804597854,-0.07095894749797901,1.0
