,405 nm,425 nm,450 nm,475 nm,515 nm,550 nm,555 nm,600 nm,640 nm,690 nm,745 nm
405 nm,1.0,0.7229544061696118,0.5094950396273815,0.5344710726489782,0.5971952909230986,0.8873933929336333,0.6421791690564181,0.5708710194516925,0.5081476940366102,0.9842863364788572,0.9959246780773013
425 nm,0.7229544061696118,1.0,0.661093360574237,0.8313482573100279,0.8257322870195626,0.679082289869144,0.7094525861454667,0.691193349005361,0.849759421082385,0.7267107899291255,0.7109523075425858
450 nm,0.5094950396273815,0.661093360574237,1.0,0.6717584746510761,0.543601589227468,0.663962113436007,0.942743090857207,0.9832339394078506,0.71655467990272,0.5485871202384807,0.4874820415100134
475 nm,0.5344710726489782,0.8313482573100279,0.6717584746510761,1.0,0.9081129699454477,0.6534431619285666,0.684936883723752,0.6467421208274131,0.9526147152571917,0.580982928266721,0.523079914955089
515 nm,0.5971952909230986,0.8257322870195626,0.543601589227468,0.9081129699454477,1.0,0.6366107633231218,0.6199509911753963,0.5466226411210604,0.8637839823677633,0.6306274253182216,0.5923215601930298
550 nm,0.8873933929336333,0.679082289869144,0.663962113436007,0.6534431619285666,0.6366107633231218,1.0,0.721287320712352,0.68599613382407,0.6455411144081513,0.910512535381521,0.8872229404993105
555 nm,0.6421791690564181,0.7094525861454667,0.942743090857207,0.684936883723752,0.6199509911753963,0.721287320712352,1.0,0.9605550735854811,0.6917703569132637,0.6742219303357785,0.625408796085631
600 nm,0.5708710194516925,0.691193349005361,0.9832339394078506,0.6467421208274131,0.5466226411210604,0.68599613382407,0.9605550735854811,1.0,0.7091679894631957,0.5964484098496937,0.5503172273408862
640 nm,0.5081476940366102,0.849759421082385,0.71655467990272,0.9526147152571917,0.8637839823677633,0.6455411144081513,0.6917703569132637,0.7091679894631957,1.0,0.5379864469372401,0.4937818149261509
690 nm,0.9842863364788572,0.7267107899291255,0.5485871202384807,0.580982928266721,0.6306274253182216,0.910512535381521,0.6742219303357785,0.5964484098496937,0.5379864469372401,1.0,0.9791009966301004
745 nm,0.9959246780773013,0.7109523075425858,0.4874820415100134,0.523079914955089,0.5923215601930298,0.8872229404993105,0.625408796085631,0.5503172273408862,0.4937818149261509,0.9791009966301004,1.0
