timestamp,AS7343_405nm,AS7343_425nm,AS7343_450nm,AS7343_475nm,AS7343_515nm,AS7343_550nm,AS7343_555nm,AS7343_600nm,AS7343_640nm,AS7343_690nm,AS7343_745nm,AS7343_855nm,AS7343_visible
2026-05-24 00:00:07.122,213.007,1260.239,2792.842,8203.114,2354.039,2119.982,2496.891,1670.752,1768.741,633.704,1045.313,0.0,10848.889
2026-05-24 00:00:17.142,214.915,1283.042,2821.302,8308.751,2383.437,2131.654,2523.013,1686.588,1788.678,637.808,1057.399,0.0,10935.046
2026-05-24 00:00:27.160,212.273,1273.066,2803.088,8272.835,2371.422,2114.632,2506.793,1677.253,1784.058,632.092,1040.132,0.0,10873.162
2026-05-24 00:00:37.178,212.86,1282.092,2798.155,8305.582,2380.625,2118.523,2501.526,1673.253,1789.893,633.997,1043.586,0.0,10865.427
2026-05-24 00:00:47.198,219.318,1299.668,2844.07,8382.696,2402.609,2154.026,2543.237,1703.258,1803.995,646.309,1085.89,0.0,10996.928
2026-05-24 00:00:57.216,217.703,1311.069,2842.552,8451.36,2414.879,2142.841,2540.498,1700.257,1818.582,643.084,1075.53,0.0,10975.323
2026-05-24 00:01:07.234,224.014,1296.818,2883.915,8356.287,2385.737,2178.344,2578.838,1729.095,1797.917,655.983,1116.97,0.0,10985.992
2026-05-24 00:01:17.254,206.99,1255.489,2801.57,8130.226,2320.297,2074.265,2496.891,1674.753,1755.855,620.219,1004.735,0.0,10616.829
2026-05-24 00:01:27.272,219.758,1291.592,2823.2,8329.878,2372.7,2151.109,2519.643,1689.922,1794.026,646.895,1089.343,0.0,10839.82
2026-05-24 00:01:37.292,202.294,1265.465,2824.338,8143.959,2317.996,2041.194,2512.691,1685.255,1754.883,608.787,971.928,0.0,10531.206
2026-05-24 00:01:47.310,190.994,1206.559,2674.447,7916.841,2266.359,1986.236,2381.451,1594.24,1706.743,585.336,899.408,0.0,10350.093
2026-05-24 00:01:57.328,185.711,1170.931,2684.693,7736.203,2221.113,1958.028,2391.352,1600.074,1669.544,574.343,863.147,0.0,10290.077
2026-05-24 00:02:07.348,188.059,1166.655,2639.536,7709.794,2214.723,1970.187,2349.431,1571.403,1663.466,579.18,879.551,0.0,10246.065
2026-05-24 00:02:17.366,198.478,1206.559,2700.251,7928.462,2277.607,2035.357,2407.573,1610.242,1709.661,601.605,947.755,0.0,10526.671
2026-05-24 00:02:27.385,192.168,1169.03,2650.541,7720.358,2222.136,1996.45,2360.807,1578.737,1667.599,587.388,906.315,0.0,10338.355
2026-05-24 00:02:37.404,190.994,1184.707,2681.657,7817.543,2249.488,1993.531,2389.877,1598.741,1688.508,586.508,899.408,0.0,10422.911
2026-05-24 00:02:47.422,191.287,1183.757,2674.827,7808.036,2249.999,1993.531,2385.243,1594.406,1685.834,586.215,900.271,0.0,10430.379
2026-05-24 00:02:57.441,189.673,1188.507,2648.264,7835.502,2259.713,1988.181,2360.385,1576.07,1691.426,583.43,890.774,0.0,10420.244
2026-05-24 00:03:07.526,189.526,1190.407,2652.817,7840.783,2262.78,1984.777,2365.23,1578.57,1691.669,582.404,889.048,0.0,10434.915
2026-05-24 00:03:17.544,190.554,1182.807,2650.541,7804.867,2252.811,1992.072,2363.756,1579.071,1684.375,584.896,895.954,0.0,10427.445
2026-05-24 00:03:27.562,191.434,1178.531,2655.094,7782.683,2246.421,1995.477,2367.969,1580.404,1678.783,586.508,902.861,0.0,10427.979
2026-05-24 00:03:37.582,187.325,1170.931,2640.295,7748.88,2238.24,1974.078,2353.644,1572.236,1672.705,578.154,875.234,0.0,10375.7
2026-05-24 00:03:47.600,190.554,1177.581,2661.166,7778.458,2246.421,1992.559,2373.657,1585.738,1678.783,585.043,896.818,0.0,10435.448
2026-05-24 00:03:57.619,190.407,1176.156,2654.715,7772.12,2244.12,1990.613,2367.969,1580.237,1677.324,584.31,895.091,0.0,10421.312
2026-05-24 00:04:07.638,190.847,1182.807,2652.438,7804.867,2254.089,1993.531,2365.652,1580.237,1684.618,585.336,897.681,0.0,10440.249
2026-05-24 00:04:17.656,189.086,1187.557,2648.643,7825.994,2260.224,1983.318,2362.281,1577.904,1689.238,581.525,885.594,0.0,10427.713
2026-05-24 00:04:27.675,191.287,1179.481,2651.679,7787.966,2248.721,1995.477,2365.23,1579.404,1680.971,586.069,900.271,0.0,10432.247
2026-05-24 00:04:37.694,191.434,1179.956,2652.058,7790.077,2249.999,1996.936,2365.862,1580.237,1681.457,586.655,901.134,0.0,10436.781
2026-05-24 00:04:47.713,189.673,1180.432,2662.684,7793.247,2250.255,1984.291,2375.763,1587.072,1681.457,582.551,889.911,0.0,10430.114
2026-05-24 00:04:57.732,188.352,1186.607,2655.094,7819.656,2257.668,1978.454,2368.39,1580.404,1687.779,580.059,882.141,0.0,10426.645
2026-05-24 00:05:07.751,189.38,1177.581,2652.817,7772.12,2244.887,1984.291,2366.705,1580.904,1677.568,582.111,888.184,0.0,10409.574
2026-05-24 00:05:17.769,189.82,1174.731,2652.817,7764.725,2242.586,1987.695,2367.126,1581.071,1675.866,583.284,891.638,0.0,10413.843
2026-05-24 00:05:27.788,189.233,1175.206,2664.961,7771.064,2244.12,1983.804,2378.081,1588.572,1677.081,581.818,886.458,0.0,10427.179
2026-05-24 00:05:37.807,188.206,1186.607,2655.474,7821.768,2258.946,1977.968,2368.39,1582.404,1688.508,580.059,880.414,0.0,10429.848
2026-05-24 00:05:47.825,188.646,1183.282,2647.505,7803.81,2253.834,1980.4,2361.649,1577.404,1684.618,580.792,883.004,0.0,10413.31
2026-05-24 00:05:57.844,188.499,1177.106,2647.884,7774.233,2245.142,1978.454,2362.492,1578.07,1678.297,580.352,883.004,0.0,10397.305
2026-05-24 00:06:07.863,189.526,1179.956,2644.849,7787.966,2248.977,1984.777,2359.543,1575.903,1680.971,582.404,889.911,0.0,10406.907
2026-05-24 00:06:17.881,188.206,1180.432,2643.71,7787.966,2249.488,1977.482,2358.279,1575.07,1681.457,579.766,880.414,0.0,10397.304
2026-05-24 00:06:27.901,188.352,1182.332,2638.777,7798.529,2252.044,1977.968,2354.066,1572.236,1683.403,579.913,881.278,0.0,10395.972
2026-05-24 00:06:37.919,187.472,1183.282,2654.335,7808.036,2254.856,1973.105,2367.758,1581.571,1685.591,578.154,875.234,0.0,10415.176
2026-05-24 00:06:47.937,188.352,1177.106,2645.987,7775.289,2245.398,1977.482,2360.807,1576.737,1678.54,579.913,882.141,0.0,10394.371
2026-05-24 00:06:57.957,188.499,1175.206,2652.817,7766.838,2243.097,1978.941,2366.916,1579.737,1676.595,580.499,883.868,0.0,10400.771
2026-05-24 00:07:07.975,189.967,1179.006,2645.228,7781.628,2247.443,1987.209,2359.543,1576.237,1679.999,583.43,891.638,0.0,10408.773
2026-05-24 00:07:17.994,188.793,1176.631,2647.884,7764.725,2243.097,1979.914,2362.07,1577.904,1676.595,580.645,884.731,0.0,10395.438
2026-05-24 00:07:28.013,189.82,1168.555,2655.853,7730.922,2232.361,1985.75,2370.076,1583.238,1668.815,582.991,890.774,0.0,10399.439
2026-05-24 00:07:38.032,189.38,1173.306,2652.438,7756.274,2240.541,1984.291,2366.494,1580.904,1674.407,582.111,888.184,0.0,10405.573
2026-05-24 00:07:48.051,187.472,1182.807,2649.782,7802.755,2253.834,1972.618,2363.966,1579.237,1684.618,578.007,875.234,0.0,10406.641
2026-05-24 00:07:58.069,189.38,1179.956,2645.608,7791.134,2250.255,1984.777,2359.964,1576.404,1681.944,582.404,888.184,0.0,10413.574
2026-05-24 00:08:08.088,188.939,1176.156,2649.402,7767.894,2243.609,1980.886,2363.545,1579.071,1676.838,581.085,885.594,0.0,10403.439
2026-05-24 00:08:18.107,189.82,1173.306,2650.92,7760.5,2241.819,1986.722,2365.23,1579.904,1675.622,583.137,889.911,0.0,10413.576
2026-05-24 00:08:28.126,190.554,1177.106,2645.987,7778.458,2246.421,1993.045,2360.596,1576.737,1679.026,585.189,896.818,0.0,10421.045
2026-05-24 00:08:38.211,188.352,1182.332,2637.639,7797.472,2252.044,1977.482,2353.223,1571.903,1683.403,579.913,881.278,0.0,10392.503
2026-05-24 00:08:48.230,227.829,1334.347,2827.753,8536.925,2443.253,2201.689,2524.067,1690.422,1833.17,664.63,1142.87,0.0,11059.877
2026-05-24 00:08:58.249,225.628,1319.145,2918.826,8460.866,2427.916,2189.53,2612.543,1749.265,1817.853,658.621,1127.33,0.0,11153.502
2026-05-24 00:09:08.267,197.304,1249.788,2784.114,8110.156,2330.522,2020.28,2485.937,1664.251,1749.047,598.527,939.985,0.0,10636.833
2026-05-24 00:09:18.287,208.018,1285.417,2827.374,8317.202,2385.737,2088.369,2527.859,1692.589,1792.811,622.565,1011.642,0.0,10879.029
2026-05-24 00:09:28.305,212.273,1271.165,2815.61,8250.65,2367.843,2114.146,2517.958,1685.922,1777.251,631.799,1040.132,0.0,10877.696
2026-05-24 00:09:38.323,210.366,1273.541,2812.195,8260.158,2370.911,2103.933,2513.955,1681.087,1779.439,627.841,1027.182,0.0,10860.625
2026-05-24 00:09:48.343,212.567,1261.189,2809.918,8211.566,2353.273,2118.036,2512.691,1681.754,1769.957,633.118,1042.723,0.0,10860.358
2026-05-24 00:09:58.361,214.475,1278.291,2825.856,8280.229,2369.889,2121.441,2526.173,1690.256,1785.517,636.049,1054.809,0.0,10867.828
2026-05-24 00:10:08.380,220.639,1284.942,2833.445,8323.54,2379.858,2161.322,2532.282,1696.423,1792.811,649.24,1095.387,0.0,10947.849
2026-05-24 00:10:18.399,218.877,1276.391,2832.307,8252.763,2357.107,2145.759,2526.384,1693.589,1779.195,645.723,1083.3,0.0,10827.55
2026-05-24 00:10:28.418,218.584,1307.744,2853.557,8406.992,2395.451,2142.841,2547.45,1708.425,1810.559,644.99,1081.573,0.0,10887.565
2026-05-24 00:10:38.436,223.427,1316.295,2914.273,8440.796,2405.165,2169.103,2602.01,1747.265,1816.637,654.81,1113.517,0.0,11001.462
2026-05-24 00:10:48.456,212.567,1309.169,2892.642,8401.711,2389.827,2102.96,2577.995,1731.762,1807.642,631.652,1040.996,0.0,10847.556
2026-05-24 00:10:58.474,186.004,1201.334,2711.256,7869.305,2253.834,1955.596,2414.314,1617.41,1697.747,574.49,865.738,0.0,10315.684
2026-05-24 00:11:08.494,186.591,1122.476,2587.928,7444.648,2139.057,1957.542,2296.135,1536.397,1611.193,575.662,868.328,0.0,10000.134
2026-05-24 00:11:18.512,191.141,1188.032,2681.277,7839.726,2252.556,1990.613,2391.563,1599.241,1691.183,586.508,900.271,0.0,10400.771
2026-05-24 00:11:28.537,191.874,1189.457,2662.684,7820.712,2247.443,1994.018,2373.025,1586.572,1687.049,587.241,903.725,0.0,10358.095
2026-05-24 00:11:38.557,190.554,1196.583,2692.662,7859.798,2259.457,1983.804,2400.41,1604.575,1695.802,584.31,895.954,0.0,10411.975
2026-05-24 00:11:48.575,187.912,1169.98,2674.447,7722.471,2221.369,1971.159,2381.872,1593.573,1667.842,579.18,878.687,0.0,10315.416
2026-05-24 00:11:58.593,191.287,1174.731,2666.478,7756.274,2234.661,1992.072,2377.449,1589.572,1675.136,586.069,900.271,0.0,10385.303
2026-05-24 00:12:08.613,188.059,1172.356,2666.478,7746.768,2232.617,1976.023,2377.659,1587.405,1672.219,579.473,878.687,0.0,10370.631
2026-05-24 00:12:18.631,191.434,1178.531,2676.724,7790.077,2246.421,1995.963,2388.403,1595.907,1680.971,586.508,901.998,0.0,10450.652
2026-05-24 00:12:28.650,187.619,1172.356,2673.688,7750.992,2238.24,1974.564,2385.243,1593.406,1672.705,579.033,876.961,0.0,10406.373
2026-05-24 00:12:38.669,189.38,1179.481,2661.166,7792.19,2248.977,1984.777,2373.235,1584.238,1681.457,582.111,888.184,0.0,10422.378
2026-05-24 00:12:48.688,188.939,1185.182,2653.956,7815.43,2256.645,1983.318,2366.705,1579.571,1686.806,581.671,885.594,0.0,10428.513
2026-05-24 00:12:58.706,190.113,1179.481,2666.099,7787.966,2248.721,1991.1,2378.081,1588.405,1680.485,584.31,893.364,0.0,10443.983
2026-05-24 00:13:08.725,190.7,1175.681,2666.858,7770.007,2243.609,1993.531,2379.134,1589.239,1676.838,585.189,895.091,0.0,10443.449
2026-05-24 00:13:18.744,191.434,1181.382,2652.058,7799.585,2251.789,1998.395,2365.652,1579.737,1682.916,587.095,901.134,0.0,10442.917
2026-05-24 00:13:28.762,190.7,1173.781,2665.34,7760.5,2241.052,1992.559,2378.291,1588.572,1674.893,585.336,897.681,0.0,10434.114
